tax_payment_id,registration_no,apply_dt,from_date,to_date,amount,receipt_no,issue_dt
460564,KKKKHHH,21/07/2016,01/01/1970,20/08/2016,,,28/07/2016
460487,NL01/A5401,15/07/2016,01/07/2016,30/06/2017,,sadasd,15/07/2016
460543,NL01/A6252,16/07/2016,01/10/2016,30/09/2017,1000,gg,15/07/2016
460242,NL01/A6935,16/07/2016,01/07/2016,30/06/2017,2200,sss,15/07/2016
460279,NL01/A7241,13/07/2016,01/07/2016,30/06/2017,9680,KA24266,12/07/2016
460280,NL01/A7291,13/07/2016,01/04/2017,30/06/2017,2420,KA24263,12/07/2016
460364,NL01/A8064,16/07/2016,01/07/2016,30/06/2017,,sds,15/07/2016
460103,NL01/A8235,13/07/2016,01/10/2016,30/09/2017,9680,KA24267,12/07/2016
460386,NL01/A8814,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460281,NL01/A9596,13/07/2016,01/07/2016,30/06/2017,7052,KA24268,12/07/2016
460389,NL01/D0512,13/07/2016,01/07/2016,30/06/2017,9680,KA23337,08/07/2016
460496,NL01/D0561,15/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460278,NL01/D0737,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460377,NL01/D0849,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460374,NL01/D0851,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460549,NL01/D0887,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460552,NL01/D1444,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460282,NL01/D1471,13/07/2016,01/04/2017,30/06/2017,2420,KA24264,12/07/2016
460274,NL01/D1819,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460563,NL01/D3080,21/07/2016,01/01/1970,29/07/2016,,,28/07/2016
460283,NL01/D3477,13/07/2016,01/10/2016,30/09/2017,5660,KA24269,12/07/2016
460542,NL01/D3618,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460537,NL01/D4256,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460284,NL01/D5801,13/07/2016,01/10/2016,30/09/2017,5836,KA24271,12/07/2016
460285,NL01/D5802,13/07/2016,01/10/2016,30/09/2017,5836,KA24272,12/07/2016
460425,NL01/D5807,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460381,NL01/D7349,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460286,NL01/D7997,13/07/2016,01/10/2016,30/09/2017,7484,KA24274,12/07/2016
460544,NL01/D8477,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460287,NL01/D8662,13/07/2016,01/07/2016,30/06/2017,7660,KA24275,12/07/2016
460288,NL01/D8665,13/07/2016,01/07/2016,30/06/2017,7660,KA24276,12/07/2016
460289,NL01/D8857,13/07/2016,01/07/2016,30/06/2017,9680,KA24278,12/07/2016
460411,NL01/D8869,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460407,NL01/D9171,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460141,NL01/G0152,13/07/2016,01/10/2016,30/09/2017,9680,KA24280,12/07/2016
460290,NL01/G0299,13/07/2016,01/07/2016,30/06/2017,13524,KA24281,12/07/2016
460239,NL01/G0462,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460112,NL01/G0515,13/07/2016,01/10/2016,30/09/2017,4140,KA24282,12/07/2016
460392,NL01/G0755,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460126,NL01/G0777,13/07/2016,01/10/2016,30/09/2017,9680,KA24284,12/07/2016
460545,NL01/G0977,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460454,NL01/G1162,15/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460291,NL01/G1223,13/07/2016,01/07/2016,30/06/2017,11200,KA24286,12/07/2016
460292,NL01/G1225,13/07/2016,01/07/2016,30/06/2017,11200,KA24287,12/07/2016
460293,NL01/G1234,13/07/2016,01/07/2016,30/06/2017,11200,KA24289,12/07/2016
460294,NL01/G1564,13/07/2016,01/07/2016,30/06/2017,11200,KA24290,12/07/2016
460413,NL01/G3593,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460414,NL01/G3594,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460295,NL01/G3764,13/07/2016,01/07/2016,30/06/2017,9680,KA24291,12/07/2016
460240,NL01/G3851,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460255,NL01/G3925,16/07/2016,01/10/2016,30/09/2017,7356,,15/07/2016
460256,NL01/G3928,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460257,NL01/G3934,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460398,NL01/G3937,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460258,NL01/G3946,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460241,NL01/G3951,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460117,NL01/G3976,13/07/2016,01/10/2016,30/09/2017,4728,KA24292,12/07/2016
460296,NL01/G3994,13/07/2016,01/10/2016,30/09/2017,7356,KA24296,12/07/2016
460297,NL01/G3995,13/07/2016,01/10/2016,30/09/2017,7356,KA24297,12/07/2016
460118,NL01/G4107,13/07/2016,01/10/2016,30/09/2017,4728,KA24297,12/07/2016
460130,NL01/G4108,13/07/2016,01/10/2016,30/09/2017,4728,KA24299,12/07/2016
460267,NL01/G5528,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460260,NL01/G5576,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460265,NL01/G5753,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460526,NL01/G6206,15/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460111,NL01/G6511,13/07/2016,01/10/2016,30/09/2017,5660,KA24300,12/07/2016
460418,NL01/G7276,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460298,NL01/G7579,13/07/2016,01/10/2016,30/09/2017,9984,KA24301,12/07/2016
460299,NL01/G7589,13/07/2016,01/10/2016,30/09/2017,9984,KA24303,12/07/2016
460400,NL01/G8416,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460396,NL01/G8426,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460300,NL01/G8977,13/07/2016,01/10/2016,30/09/2017,7356,KA24304,12/07/2016
460301,NL01/G8978,13/07/2016,01/10/2016,30/09/2017,7356,KA24306,12/07/2016
460538,NL01/G9127,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460395,NL01/G9276,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
